0 819 1
819 0 1
1 268 1
268 1 1
1 592 1
592 1 1
2 91 1
91 2 1
2 692 1
692 2 1
3 1049 1
1049 3 1
4 635 1
635 4 1
5 276 1
276 5 1
5 409 1
409 5 1
5 644 1
644 5 1
5 645 1
645 5 1
5 1057 1
1057 5 1
6 874 1
874 6 1
7 228 1
228 7 1
7 247 1
247 7 1
8 418 1
418 8 1
8 534 1
534 8 1
8 988 1
988 8 1
9 264 1
264 9 1
10 215 1
215 10 1
11 337 1
337 11 1
12 218 1
218 12 1
13 208 1
208 13 1
13 324 1
324 13 1
13 411 1
411 13 1
13 458 1
458 13 1
13 708 1
708 13 1
13 840 1
840 13 1
13 965 1
965 13 1
14 670 1
670 14 1
15 202 1
202 15 1
15 704 1
704 15 1
15 1089 1
1089 15 1
16 1098 1
1098 16 1
17 657 1
657 17 1
18 386 1
386 18 1
19 81 1
81 19 1
19 255 1
255 19 1
20 399 1
399 20 1
21 64 1
64 21 1
21 71 1
71 21 1
21 80 1
80 21 1
21 107 1
107 21 1
21 252 1
252 21 1
21 268 1
268 21 1
21 298 1
298 21 1
21 341 1
341 21 1
21 357 1
357 21 1
21 406 1
406 21 1
21 630 1
630 21 1
21 634 1
634 21 1
21 689 1
689 21 1
21 718 1
718 21 1
21 748 1
748 21 1
21 787 1
787 21 1
21 814 1
814 21 1
21 875 1
875 21 1
21 938 1
938 21 1
21 963 1
963 21 1
21 998 1
998 21 1
21 1010 1
1010 21 1
21 1040 1
1040 21 1
21 1051 1
1051 21 1
21 1059 1
1059 21 1
21 1079 1
1079 21 1
22 312 1
312 22 1
22 399 1
399 22 1
23 228 1
228 23 1
23 371 1
371 23 1
23 449 1
449 23 1
23 668 1
668 23 1
23 732 1
732 23 1
23 846 1
846 23 1
23 876 1
876 23 1
23 934 1
934 23 1
24 25 1
25 24 1
24 904 1
904 24 1
25 217 1
217 25 1
25 479 1
479 25 1
25 678 1
678 25 1
25 904 1
904 25 1
25 941 1
941 25 1
25 959 1
959 25 1
25 1032 1
1032 25 1
25 1087 1
1087 25 1
26 278 1
278 26 1
27 524 1
524 27 1
28 961 1
961 28 1
28 1023 1
1023 28 1
29 59 1
59 29 1
29 349 1
349 29 1
29 417 1
417 29 1
29 571 1
571 29 1
29 576 1
576 29 1
29 710 1
710 29 1
29 776 1
776 29 1
29 784 1
784 29 1
29 860 1
860 29 1
30 1077 1
1077 30 1
31 408 1
408 31 1
31 1084 1
1084 31 1
32 202 1
202 32 1
32 572 1
572 32 1
33 462 1
462 33 1
34 323 1
323 34 1
34 443 1
443 34 1
34 451 1
451 34 1
34 683 1
683 34 1
35 68 1
68 35 1
36 635 1
635 36 1
36 1098 1
1098 36 1
37 274 1
274 37 1
38 517 1
517 38 1
39 215 1
215 39 1
39 765 1
765 39 1
39 865 1
865 39 1
39 1011 1
1011 39 1
40 209 1
209 40 1
40 337 1
337 40 1
40 558 1
558 40 1
40 779 1
779 40 1
40 1105 1
1105 40 1
41 90 1
90 41 1
41 520 1
520 41 1
41 651 1
651 41 1
41 794 1
794 41 1
41 822 1
822 41 1
41 887 1
887 41 1
42 585 1
585 42 1
43 938 1
938 43 1
44 337 1
337 44 1
44 387 1
387 44 1
44 427 1
427 44 1
44 675 1
675 44 1
44 854 1
854 44 1
45 332 1
332 45 1
46 783 1
783 46 1
47 274 1
274 47 1
48 836 1
836 48 1
49 339 1
339 49 1
49 563 1
563 49 1
49 582 1
582 49 1
50 67 1
67 50 1
50 479 1
479 50 1
50 666 1
666 50 1
51 877 1
877 51 1
52 84 1
84 52 1
53 90 1
90 53 1
54 733 1
733 54 1
55 81 1
81 55 1
55 97 1
97 55 1
55 108 1
108 55 1
55 613 1
613 55 1
55 643 1
643 55 1
55 1030 1
1030 55 1
56 278 1
278 56 1
57 136 1
136 57 1
57 166 1
166 57 1
57 258 1
258 57 1
57 702 1
702 57 1
57 723 1
723 57 1
57 783 1
783 57 1
57 952 1
952 57 1
57 1052 1
1052 57 1
57 1095 1
1095 57 1
58 948 1
948 58 1
59 349 1
349 59 1
59 576 1
576 59 1
59 635 1
635 59 1
59 665 1
665 59 1
59 710 1
710 59 1
59 927 1
927 59 1
60 82 1
82 60 1
60 412 1
412 60 1
60 614 1
614 60 1
60 694 1
694 60 1
60 852 1
852 60 1
60 961 1
961 60 1
60 1023 1
1023 60 1
61 873 1
873 61 1
62 173 1
173 62 1
62 770 1
770 62 1
63 122 1
122 63 1
64 140 1
140 64 1
64 352 1
352 64 1
64 548 1
548 64 1
64 567 1
567 64 1
64 594 1
594 64 1
64 621 1
621 64 1
64 827 1
827 64 1
64 914 1
914 64 1
64 982 1
982 64 1
65 224 1
224 65 1
66 1096 1
1096 66 1
68 278 1
278 68 1
69 386 1
386 69 1
70 337 1
337 70 1
70 387 1
387 70 1
72 325 1
325 72 1
72 954 1
954 72 1
72 1072 1
1072 72 1
73 417 1
417 73 1
74 708 1
708 74 1
75 159 1
159 75 1
75 424 1
424 75 1
76 77 1
77 76 1
76 441 1
441 76 1
76 584 1
584 76 1
78 412 1
412 78 1
78 515 1
515 78 1
79 732 1
732 79 1
79 754 1
754 79 1
81 828 1
828 81 1
82 423 1
423 82 1
82 961 1
961 82 1
82 1090 1
1090 82 1
83 1006 1
1006 83 1
84 159 1
159 84 1
84 165 1
165 84 1
84 354 1
354 84 1
84 385 1
385 84 1
84 590 1
590 84 1
84 599 1
599 84 1
84 770 1
770 84 1
84 896 1
896 84 1
84 908 1
908 84 1
85 595 1
595 85 1
86 684 1
684 86 1
87 1024 1
1024 87 1
88 717 1
717 88 1
88 1051 1
1051 88 1
89 292 1
292 89 1
89 850 1
850 89 1
90 224 1
224 90 1
90 822 1
822 90 1
91 241 1
241 91 1
91 284 1
284 91 1
91 464 1
464 91 1
91 477 1
477 91 1
91 692 1
692 91 1
91 695 1
695 91 1
91 991 1
991 91 1
92 894 1
894 92 1
92 1060 1
1060 92 1
93 595 1
595 93 1
94 664 1
664 94 1
94 963 1
963 94 1
95 430 1
430 95 1
95 582 1
582 95 1
96 429 1
429 96 1
97 108 1
108 97 1
97 293 1
293 97 1
97 463 1
463 97 1
97 613 1
613 97 1
97 839 1
839 97 1
97 1030 1
1030 97 1
97 1062 1
1062 97 1
98 486 1
486 98 1
99 847 1
847 99 1
100 843 1
843 100 1
101 401 1
401 101 1
101 521 1
521 101 1
102 489 1
489 102 1
102 622 1
622 102 1
103 376 1
376 103 1
104 122 1
122 104 1
105 327 1
327 105 1
105 395 1
395 105 1
105 565 1
565 105 1
105 1017 1
1017 105 1
106 582 1
582 106 1
107 154 1
154 107 1
108 296 1
296 108 1
108 724 1
724 108 1
108 1043 1
1043 108 1
109 582 1
582 109 1
109 585 1
585 109 1
109 722 1
722 109 1
110 189 1
189 110 1
110 613 1
613 110 1
110 760 1
760 110 1
110 812 1
812 110 1
111 135 1
135 111 1
112 632 1
632 112 1
113 520 1
520 113 1
113 891 1
891 113 1
114 129 1
129 114 1
114 353 1
353 114 1
114 795 1
795 114 1
115 992 1
992 115 1
116 202 1
202 116 1
117 352 1
352 117 1
117 408 1
408 117 1
117 803 1
803 117 1
117 837 1
837 117 1
117 953 1
953 117 1
117 1031 1
1031 117 1
117 1074 1
1074 117 1
117 1084 1
